"state","region","division","region_code","region_name"
"GA","South","South Atlantic","C13057","Cherokee County, GA"
"GA","South","South Atlantic","C13059","Clarke County, GA"
"GA","South","South Atlantic","C13061","Clay County, GA"
"GA","South","South Atlantic","C13063","Clayton County, GA"
"GA","South","South Atlantic","C13065","Clinch County, GA"
"GA","South","South Atlantic","C13067","Cobb County, GA"
"GA","South","South Atlantic","C13069","Coffee County, GA"
"GA","South","South Atlantic","C13071","Colquitt County, GA"
"GA","South","South Atlantic","C13073","Columbia County, GA"
"GA","South","South Atlantic","C13075","Cook County, GA"
"GA","South","South Atlantic","C13077","Coweta County, GA"
"GA","South","South Atlantic","C13079","Crawford County, GA"
"GA","South","South Atlantic","C13081","Crisp County, GA"
"GA","South","South Atlantic","C13083","Dade County, GA"
"GA","South","South Atlantic","C13085","Dawson County, GA"
"GA","South","South Atlantic","C13089","DeKalb County, GA"
"GA","South","South Atlantic","C13087","Decatur County, GA"
"GA","South","South Atlantic","C13091","Dodge County, GA"
"GA","South","South Atlantic","C13093","Dooly County, GA"
"GA","South","South Atlantic","C13095","Dougherty County, GA"
"GA","South","South Atlantic","C13097","Douglas County, GA"
"GA","South","South Atlantic","C13099","Early County, GA"
"GA","South","South Atlantic","C13101","Echols County, GA"
"GA","South","South Atlantic","C13103","Effingham County, GA"
"GA","South","South Atlantic","C13105","Elbert County, GA"
"GA","South","South Atlantic","C13107","Emanuel County, GA"
"GA","South","South Atlantic","C13109","Evans County, GA"
"GA","South","South Atlantic","C13111","Fannin County, GA"
"GA","South","South Atlantic","C13113","Fayette County, GA"
"GA","South","South Atlantic","C13115","Floyd County, GA"
"GA","South","South Atlantic","C13117","Forsyth County, GA"
"GA","South","South Atlantic","C13119","Franklin County, GA"
"GA","South","South Atlantic","C13121","Fulton County, GA"
"GA","South","South Atlantic","C13123","Gilmer County, GA"
"GA","South","South Atlantic","C13125","Glascock County, GA"
"GA","South","South Atlantic","C13127","Glynn County, GA"
"GA","South","South Atlantic","C13129","Gordon County, GA"
"GA","South","South Atlantic","C13131","Grady County, GA"
"GA","South","South Atlantic","C13133","Greene County, GA"
"GA","South","South Atlantic","C13135","Gwinnett County, GA"
"GA","South","South Atlantic","C13137","Habersham County, GA"
"GA","South","South Atlantic","C13139","Hall County, GA"
"GA","South","South Atlantic","C13141","Hancock County, GA"
"GA","South","South Atlantic","C13143","Haralson County, GA"
"GA","South","South Atlantic","C13145","Harris County, GA"
"GA","South","South Atlantic","C13147","Hart County, GA"
"GA","South","South Atlantic","C13149","Heard County, GA"
"GA","South","South Atlantic","C13151","Henry County, GA"
"GA","South","South Atlantic","C13153","Houston County, GA"
"GA","South","South Atlantic","C13155","Irwin County, GA"
"GA","South","South Atlantic","C13157","Jackson County, GA"
"GA","South","South Atlantic","C13159","Jasper County, GA"
"GA","South","South Atlantic","C13161","Jeff Davis County, GA"
"GA","South","South Atlantic","C13163","Jefferson County, GA"
"GA","South","South Atlantic","C13165","Jenkins County, GA"
"GA","South","South Atlantic","C13167","Johnson County, GA"
"GA","South","South Atlantic","C13169","Jones County, GA"
"GA","South","South Atlantic","C13171","Lamar County, GA"
"GA","South","South Atlantic","C13173","Lanier County, GA"
"GA","South","South Atlantic","C13175","Laurens County, GA"
"GA","South","South Atlantic","C13177","Lee County, GA"
"GA","South","South Atlantic","C13179","Liberty County, GA"
"GA","South","South Atlantic","C13181","Lincoln County, GA"
"GA","South","South Atlantic","C13183","Long County, GA"
"GA","South","South Atlantic","C13185","Lowndes County, GA"
"GA","South","South Atlantic","C13187","Lumpkin County, GA"
"GA","South","South Atlantic","C13193","Macon County, GA"
"GA","South","South Atlantic","C13195","Madison County, GA"
"GA","South","South Atlantic","C13197","Marion County, GA"
"GA","South","South Atlantic","C13189","McDuffie County, GA"
"GA","South","South Atlantic","C13191","McIntosh County, GA"
"GA","South","South Atlantic","C13199","Meriwether County, GA"
"GA","South","South Atlantic","C13201","Miller County, GA"
"GA","South","South Atlantic","C13205","Mitchell County, GA"
"GA","South","South Atlantic","C13207","Monroe County, GA"
"GA","South","South Atlantic","C13209","Montgomery County, GA"
"GA","South","South Atlantic","C13211","Morgan County, GA"
"GA","South","South Atlantic","C13213","Murray County, GA"
"GA","South","South Atlantic","C13215","Muscogee County, GA"
"GA","South","South Atlantic","C13217","Newton County, GA"
"GA","South","South Atlantic","C13219","Oconee County, GA"
"GA","South","South Atlantic","C13221","Oglethorpe County, GA"
"GA","South","South Atlantic","C13223","Paulding County, GA"
"GA","South","South Atlantic","C13225","Peach County, GA"
"GA","South","South Atlantic","C13227","Pickens County, GA"
"GA","South","South Atlantic","C13229","Pierce County, GA"
"GA","South","South Atlantic","C13231","Pike County, GA"
"GA","South","South Atlantic","C13233","Polk County, GA"
"GA","South","South Atlantic","C13235","Pulaski County, GA"
"GA","South","South Atlantic","C13237","Putnam County, GA"
"GA","South","South Atlantic","C13239","Quitman County, GA"
"GA","South","South Atlantic","C13241","Rabun County, GA"
"GA","South","South Atlantic","C13243","Randolph County, GA"
"GA","South","South Atlantic","C13245","Richmond County, GA"
"GA","South","South Atlantic","C13247","Rockdale County, GA"
"GA","South","South Atlantic","C13249","Schley County, GA"
"GA","South","South Atlantic","C13251","Screven County, GA"
"GA","South","South Atlantic","C13253","Seminole County, GA"
"GA","South","South Atlantic","C13255","Spalding County, GA"
"GA","South","South Atlantic","C13257","Stephens County, GA"
"GA","South","South Atlantic","C13259","Stewart County, GA"
"GA","South","South Atlantic","C13261","Sumter County, GA"
"GA","South","South Atlantic","C13263","Talbot County, GA"
"GA","South","South Atlantic","C13265","Taliaferro County, GA"
"GA","South","South Atlantic","C13267","Tattnall County, GA"
"GA","South","South Atlantic","C13269","Taylor County, GA"
"GA","South","South Atlantic","C13271","Telfair County, GA"
"GA","South","South Atlantic","C13273","Terrell County, GA"
"GA","South","South Atlantic","C13275","Thomas County, GA"
"GA","South","South Atlantic","C13277","Tift County, GA"
"GA","South","South Atlantic","C13279","Toombs County, GA"
"GA","South","South Atlantic","C13281","Towns County, GA"
"GA","South","South Atlantic","C13283","Treutlen County, GA"
"GA","South","South Atlantic","C13285","Troup County, GA"
"GA","South","South Atlantic","C13287","Turner County, GA"
"GA","South","South Atlantic","C13289","Twiggs County, GA"
"GA","South","South Atlantic","C13291","Union County, GA"
"GA","South","South Atlantic","C13293","Upson County, GA"
"GA","South","South Atlantic","C13295","Walker County, GA"
"GA","South","South Atlantic","C13297","Walton County, GA"
"GA","South","South Atlantic","C13299","Ware County, GA"
"GA","South","South Atlantic","C13301","Warren County, GA"
"GA","South","South Atlantic","C13303","Washington County, GA"
"GA","South","South Atlantic","C13305","Wayne County, GA"
"GA","South","South Atlantic","C13307","Webster County, GA"
"GA","South","South Atlantic","C13309","Wheeler County, GA"
